sweep_name,sweep_value,distance,n_trials,n_reachable,p_reachable_exact_d,ci_low,ci_high,truncation_rate,avg_states_per_depth,bank_n_layers
rules_per_transition,8,1,160,5,0.03125,0.013420318754525096,0.07106127810488057,0.0,0.79375,14
rules_per_transition,8,2,160,0,0.0,0.0,0.023447036650032713,0.0,0.6979166666666667,14
rules_per_transition,8,3,160,2,0.0125,0.0034345991561011736,0.04442626157768072,0.0,0.6916666666666667,14
rules_per_transition,8,4,160,0,0.0,0.0,0.023447036650032713,0.0,0.8012499999999999,14
rules_per_transition,8,5,160,1,0.00625,0.00110410335439148,0.03454984533751582,0.0,0.8730208333333334,14
rules_per_transition,16,1,160,4,0.025,0.009763834597428894,0.06251085022010217,0.0,1.090625,14
rules_per_transition,16,2,160,5,0.03125,0.013420318754525096,0.07106127810488057,0.0,1.5395833333333333,14
rules_per_transition,16,3,160,5,0.03125,0.013420318754525096,0.07106127810488057,0.0,1.3822916666666667,14
rules_per_transition,16,4,160,9,0.05625,0.029871962307707264,0.10343728271919676,0.0,2.3684374999999998,14
rules_per_transition,16,5,160,3,0.01875,0.00639673490167721,0.05367103787397927,0.0,1.3820833333333333,14
rules_per_transition,24,1,160,4,0.025,0.009763834597428894,0.06251085022010217,0.0,1.35,14
rules_per_transition,24,2,160,10,0.0625,0.03429929567623645,0.11121686139254218,0.0,2.1479166666666667,14
rules_per_transition,24,3,160,12,0.075,0.043420566103405354,0.12650941504912244,0.0,3.0302083333333334,14
rules_per_transition,24,4,160,14,0.0875,0.052836307068052514,0.14150749816822447,0.0,4.058020833333333,14
rules_per_transition,24,5,160,13,0.08125,0.04809535567378416,0.13404153752061826,0.0,4.3409375,14
rules_per_transition,32,1,160,9,0.05625,0.029871962307707264,0.10343728271919676,0.0,1.515625,14
rules_per_transition,32,2,160,10,0.0625,0.03429929567623645,0.11121686139254218,0.0,2.666666666666667,14
rules_per_transition,32,3,160,13,0.08125,0.04809535567378416,0.13404153752061826,0.0,4.8036458333333325,14
rules_per_transition,32,4,160,20,0.125,0.08239390208929147,0.185191375398233,0.0,6.702291666666667,14
rules_per_transition,32,5,160,19,0.11875,0.077354257102703,0.1780241083429469,0.0,7.519270833333333,14
